,Dialogue,Model,Summary,origin,Annotations,Reference_Summary
16,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",pegasus,"Shannon doesn't like the new 30 seconds to mars album. Kane recommends her to check it out, but she doesn't think it's good.",SAMSum,"{""Shannon doesn't like the new 30 seconds to mars album."": [(""doesn't like"", 'extrinsic', 'PredE')], ""Kane recommends her to check it out, but she doesn't think it's good."": [(""doesn't think"", 'extrinsic', 'PredE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.
17,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",gpt3_finetune,"Shannon will check out the new 30 seconds to mars album, as Kane recommend it.",SAMSum,{},Kane recommends the new 30 Seconds to Mars album to Shannon.
18,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",structure_aware_bart,"Kane recommends Shannon the new 30 seconds to mars album. Shannon doesn't like it, but Kane recommends it to her.",SAMSum,"{""Shannon doesn't like it, but Kane recommends it to her."": [(""doesn't like"", 'extrinsic', 'PredE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.
19,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",condigsum,Shannon hasn't heard the new 30 seconds to mars album. Kane recommends it to her.,SAMSum,{},Kane recommends the new 30 Seconds to Mars album to Shannon.
20,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",structure_aware_bart,Sybille is angry because her son couldn't get his flight from Minneapolis to Paris on the 29th. Air France offers her a departure on flight DL140 from Minneapolis to Paris.,SAMSum,"{""Sybille is angry because her son couldn't get his flight from Minneapolis to Paris on the 29th."": [('because', 'n/a', 'LinkE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
21,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",pegasus,"Sybille is trying to make her online registration for the flight AF3581 from Minneapolis to Paris the 29th, but she only gets an error message.",SAMSum,{},"Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
22,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",bart,"Sybille has problems with Delta Airlines' online registration for the flight AF3581 from Minneapolis to Paris the 29th. Sybille's 16-year-old son couldn't get his flight yesterday, so she asked for it to be postponed. Delta and Air France can't",SAMSum,"{""Sybille has problems with Delta Airlines' online registration for the flight AF3581 from Minneapolis to Paris the 29th."": [(""Delta Airlines' online registration"", 'intrinsic', 'EntE')], ""Delta and Air France can't share code."": [('code', 'intrinsic', 'EntE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
23,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",gpt3_finetune,Sybil is having trouble to register for a flight to Paris from Minneapolis. The Delta Airlines ticket did not go through. Air France books him for Delta for the same departure on the same day even though the codes don't coincide. He becomes free 3 hours before departure. Air France emails him the new ticket.,SAMSum,"{'Sybil is having trouble to register for a flight to Paris from Minneapolis.': [('Sybil', 'extrinsic', 'EntE')], 'The Delta Airlines ticket did not go through.': [('The Delta Airlines ticket', 'intrinsic', 'EntE')], ""Air France books him for Delta for the same departure on the same day even though the codes don't coincide."": [('on the same day', 'extrinsic', 'CirE')], 'He becomes free 3 hours before departure.': [('becomes free', 'extrinsic', 'PredE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
24,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",condigsum,"Sybille is trying to make an online registration for the flight AF3581 from Minneapolis to Paris the 29th. She is angry because her son couldn't get his flight yesterday, so she asked for it to be postponed. She has to sleep in the airport, because he has no ticket. Air France offers her a departure on flight DL140 fromneapolis to Paris.",SAMSum,"{'She has to sleep in the airport, because he has no ticket.': [('She', 'n/a', 'CorefE')], 'Air France offers her a departure on flight DL140 fromneapolis to Paris.': [('fromneapolis', 'n/a', 'Others')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
25,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",gpt3_finetune,Callan's Samsung S8 does not work. Callan wants to take it to a service provider. Wade thinks he should be careful with his phone battery. Callan will back up his files.,SAMSum,"{'Callan will back up his files.': [('will back up', 'intrinsic', 'PredE')]}","Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
26,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",structure_aware_bart,Callan's Samsung S8 overheats and then it takes a while for it to restart. It's still under warranty. Callan will go to the store to check it out.,SAMSum,{},"Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
27,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",pegasus,Callan is having problems with his Samsung S8 phone. It overheats and then takes a while for it to restart. Callan is going to the store and let them see it.,SAMSum,{},"Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
28,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",condigsum,Callan's Samsung S8 overheats and it takes a while for it to restart again. He's going to the store to have it checked. It's still under warranty.,SAMSum,{},"Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
29,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",bart,Callan's Samsung S8 overheats and it takes a while for it to restart again. He's going to the store to let them see it.,SAMSum,{},"Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
30,"Benjamin: Hey guys, what are we doing with the keys today?
Hilary: I've got them. Whoever wants them can meet me at lunchtime or after
Elliot: I'm ok. We're meeting for the drinks in the evening anyway and I guess we'll be going back to the apartment together?
Hilary: Yeah, I guess so
Daniel: I'm with Hilary atm and won't let go of her for the rest of the day, so any option you guys choose is good for me
Benjamin: Hmm I might actually pass by at lunchtime, take the keys and go take a nap. I'm sooo tired after yesterday
Hilary: Sounds good. We'll be having lunch with some French people (the ones who work on the history of food in colonial Mexico - I already see you yawning your head off)
Benjamin: YAAAAWN 🙊 Where and where are you meeting?
Hilary: So I'm meeting them at the entrance to the conference hall at 2 pm and then we'll head to this place called La Cantina. Italian cuisine, which is quite funny, but that's what they've chosen
Benjamin: Interesting 😱 To be honest, Hilary, I almost feel like changing my mind. Wanting to take this nap might end up costing me to dear
Hilary: Oh come on 😂
Benjamin: All these terrible obstacles on mu way to bed might just prove to much to take
Hilary: We'll try to avoid talking about their subject of research. Oh wait, no, I'm actually meeting them because I wanted to chat about their research lol
Elliot: 🙉
Hilary: Do join us, we're going to have fun. And then you'll take the keys and take this most deserved of naps
Elliot: Sounds like a plan 😂
Hilary: 😎
Elliot: See you at 2 then xx",condigsum,Hilary is having lunch with some French people who work on the history of food in colonial Mexico at 2 pm at La Cantina. Benjamin will join them.,SAMSum,"{'Benjamin will join them.': [('will join', 'intrinsic', 'PredE')]}",Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.
