,DocID,Dialogue,Model,Summary,PredE,PredE_text,SubjObjE,SubjObjE_text,OutE,OutE_text,CorefE,CorefE_text,GramE,GramE_text,CircE,CircE_text,LinkE,LinkE_text,OthE,OthE_text,w/ Error
16,13680968,"Boris: Due to the number of PTO requests this week, we had to decide who will be allowed to take off based on seniority. 
Sarah: I understand.
Boris: Unfortunately, you are too low on the totem pole and we will have to deny your request.
Sarah: Oh, that's too bad! Is there any compromise? I really wanted to have some time with my family.
Boris: I can give you first choice of dates the week after, but that's the best I can do.
Sarah: What if someone cancels?
Boris: That is a rare, but yes, I will come to you first.
Sarah: Thank you.
Boris: Again, I'm very sorry.
Sarah: Could you amend my request for the following week, Monday through Wednesday?
Boris: Certainly. That should be no problem.
Sarah: That's great, at least I'll have a long weekend!
Boris: Very true. No problems from my side.
Sarah: Do I need to initial the change?
Boris: Yes, please come see my assistant at your earliest convenience.
Sarah: Certainly, no problem.
Boris: Thank you for being so flexible.
Sarah: Sure, I understand we can't all be off. You are just trying to be fair.
Boris: That's it exactly.
Sarah: Thank you again for explaining it so well.
Boris: My pleasure. Have a nice holiday and enjoy your time off.
Sarah: Thank you!",BART,Boris has to deny Sarah's request for a PTO because she is too low on the totem pole. Boris will amend her request for the following week Monday through Wednesday.,no,,no,,no,,no,,no,,no,,no,,no,,0
17,13680968,"Boris: Due to the number of PTO requests this week, we had to decide who will be allowed to take off based on seniority. 
Sarah: I understand.
Boris: Unfortunately, you are too low on the totem pole and we will have to deny your request.
Sarah: Oh, that's too bad! Is there any compromise? I really wanted to have some time with my family.
Boris: I can give you first choice of dates the week after, but that's the best I can do.
Sarah: What if someone cancels?
Boris: That is a rare, but yes, I will come to you first.
Sarah: Thank you.
Boris: Again, I'm very sorry.
Sarah: Could you amend my request for the following week, Monday through Wednesday?
Boris: Certainly. That should be no problem.
Sarah: That's great, at least I'll have a long weekend!
Boris: Very true. No problems from my side.
Sarah: Do I need to initial the change?
Boris: Yes, please come see my assistant at your earliest convenience.
Sarah: Certainly, no problem.
Boris: Thank you for being so flexible.
Sarah: Sure, I understand we can't all be off. You are just trying to be fair.
Boris: That's it exactly.
Sarah: Thank you again for explaining it so well.
Boris: My pleasure. Have a nice holiday and enjoy your time off.
Sarah: Thank you!",UniLM,"There is a number of PTO requests this week . Boris asks Sarah to amend her request for the following week , Monday through Wednesday . He agrees .",no,,no,,no,,no,,no,,no,,no,,no,,0
18,13680968,"Boris: Due to the number of PTO requests this week, we had to decide who will be allowed to take off based on seniority. 
Sarah: I understand.
Boris: Unfortunately, you are too low on the totem pole and we will have to deny your request.
Sarah: Oh, that's too bad! Is there any compromise? I really wanted to have some time with my family.
Boris: I can give you first choice of dates the week after, but that's the best I can do.
Sarah: What if someone cancels?
Boris: That is a rare, but yes, I will come to you first.
Sarah: Thank you.
Boris: Again, I'm very sorry.
Sarah: Could you amend my request for the following week, Monday through Wednesday?
Boris: Certainly. That should be no problem.
Sarah: That's great, at least I'll have a long weekend!
Boris: Very true. No problems from my side.
Sarah: Do I need to initial the change?
Boris: Yes, please come see my assistant at your earliest convenience.
Sarah: Certainly, no problem.
Boris: Thank you for being so flexible.
Sarah: Sure, I understand we can't all be off. You are just trying to be fair.
Boris: That's it exactly.
Sarah: Thank you again for explaining it so well.
Boris: My pleasure. Have a nice holiday and enjoy your time off.
Sarah: Thank you!",MV-BART,"Boris has to deny Sarah's request for PTO because she is too low on the totem pole. He will give her first choice of dates the week after. Sarah will have a long weekend. Boris will amend her request for the following week, Monday through Wednesday.",no,,no,,no,,no,,no,,no,,no,,no,,0
19,13680968,"Boris: Due to the number of PTO requests this week, we had to decide who will be allowed to take off based on seniority. 
Sarah: I understand.
Boris: Unfortunately, you are too low on the totem pole and we will have to deny your request.
Sarah: Oh, that's too bad! Is there any compromise? I really wanted to have some time with my family.
Boris: I can give you first choice of dates the week after, but that's the best I can do.
Sarah: What if someone cancels?
Boris: That is a rare, but yes, I will come to you first.
Sarah: Thank you.
Boris: Again, I'm very sorry.
Sarah: Could you amend my request for the following week, Monday through Wednesday?
Boris: Certainly. That should be no problem.
Sarah: That's great, at least I'll have a long weekend!
Boris: Very true. No problems from my side.
Sarah: Do I need to initial the change?
Boris: Yes, please come see my assistant at your earliest convenience.
Sarah: Certainly, no problem.
Boris: Thank you for being so flexible.
Sarah: Sure, I understand we can't all be off. You are just trying to be fair.
Boris: That's it exactly.
Sarah: Thank you again for explaining it so well.
Boris: My pleasure. Have a nice holiday and enjoy your time off.
Sarah: Thank you!",CODS,"Sarah will be allowed to take a holiday the following week, Monday through Wednesday.",no,,no,,no,,no,,no,,no,,no,,no,,0
20,13680352,"Josh:  Man, I’m really pissed off.
Mark: What’s up, bro?
Josh: I lost my brand new sneakers somewhere.
Mark: Oh, man, that sucks, when?
Josh: I don’t know exactly, last Tuesday I think.
Mark: Where’ve you been to?
Josh: Many places, swimming pool and fitness, but I thought I left them in the gym.
Mark: You should call them or go there. 
Josh: Yeah, I did  call them, but they said nothing was found when they’re closing.
Mark: So what are the options now?
Josh: Dunno, will try to check the swimming pool.
 Mark: Ok, good luck. Gimme a call.
Josh: I will. Take care, bro.
Mark: You too, man. ",BART,"Josh lost his new sneakers last Tuesday. He thought he left them at the gym, but they were not found. He will try to check the swimming pool.",no,,no,,no,,no,,no,,no,,no,,no,,0
21,13680352,"Josh:  Man, I’m really pissed off.
Mark: What’s up, bro?
Josh: I lost my brand new sneakers somewhere.
Mark: Oh, man, that sucks, when?
Josh: I don’t know exactly, last Tuesday I think.
Mark: Where’ve you been to?
Josh: Many places, swimming pool and fitness, but I thought I left them in the gym.
Mark: You should call them or go there. 
Josh: Yeah, I did  call them, but they said nothing was found when they’re closing.
Mark: So what are the options now?
Josh: Dunno, will try to check the swimming pool.
 Mark: Ok, good luck. Gimme a call.
Josh: I will. Take care, bro.
Mark: You too, man. ",UniLM,"Josh lost his new sneakers . He might be going to many places , swimming pool and fitness . Josh will check the swimming pool .",no,,no,,no,,no,,no,,no,,no,,no,,0
22,13680352,"Josh:  Man, I’m really pissed off.
Mark: What’s up, bro?
Josh: I lost my brand new sneakers somewhere.
Mark: Oh, man, that sucks, when?
Josh: I don’t know exactly, last Tuesday I think.
Mark: Where’ve you been to?
Josh: Many places, swimming pool and fitness, but I thought I left them in the gym.
Mark: You should call them or go there. 
Josh: Yeah, I did  call them, but they said nothing was found when they’re closing.
Mark: So what are the options now?
Josh: Dunno, will try to check the swimming pool.
 Mark: Ok, good luck. Gimme a call.
Josh: I will. Take care, bro.
Mark: You too, man. ",MV-BART,"Josh lost his new sneakers last Tuesday. He thought he left them in the gym, but they were not found. He will try to check the swimming pool.",no,,no,,no,,no,,no,,no,,no,,no,,0
23,13680352,"Josh:  Man, I’m really pissed off.
Mark: What’s up, bro?
Josh: I lost my brand new sneakers somewhere.
Mark: Oh, man, that sucks, when?
Josh: I don’t know exactly, last Tuesday I think.
Mark: Where’ve you been to?
Josh: Many places, swimming pool and fitness, but I thought I left them in the gym.
Mark: You should call them or go there. 
Josh: Yeah, I did  call them, but they said nothing was found when they’re closing.
Mark: So what are the options now?
Josh: Dunno, will try to check the swimming pool.
 Mark: Ok, good luck. Gimme a call.
Josh: I will. Take care, bro.
Mark: You too, man. ",CODS,"Josh lost his new sneakers. He called the gym, but nothing was found. Josh will check the swimming pool.",no,,no,,no,,no,,no,,no,,no,,no,,0
24,13728634,"Rob: Are we meeting up 2morrow?
Eve: How about Sunday
Eve: stores are open so we can go then
Rob: Ok I just don't know what time they close
Eve: we have ot go in the moring 
Eve: I have some stuff to do around 3
Rob: ok",BART,Eve and Rob will meet on Sunday.,no,,no,,no,,no,,no,,no,,no,,no,,0
25,13728634,"Rob: Are we meeting up 2morrow?
Eve: How about Sunday
Eve: stores are open so we can go then
Rob: Ok I just don't know what time they close
Eve: we have ot go in the moring 
Eve: I have some stuff to do around 3
Rob: ok",UniLM,Eve and Rob will meet tomorrow on Sunday .,no,,no,,no,,yes,tomorrow,no,,no,,no,,no,,1
26,13728634,"Rob: Are we meeting up 2morrow?
Eve: How about Sunday
Eve: stores are open so we can go then
Rob: Ok I just don't know what time they close
Eve: we have ot go in the moring 
Eve: I have some stuff to do around 3
Rob: ok",MV-BART,Eve and Rob are meeting up on Sunday. Eve has some stuff to do around 3.,no,,no,,no,,no,,no,,no,,no,,no,,0
27,13728634,"Rob: Are we meeting up 2morrow?
Eve: How about Sunday
Eve: stores are open so we can go then
Rob: Ok I just don't know what time they close
Eve: we have ot go in the moring 
Eve: I have some stuff to do around 3
Rob: ok",CODS,Eve and Rob will meet on Sunday when the stores are open. Rob doesn't know what time they close.,no,,no,,no,,no,,no,,no,,no,,no,,0
28,13681405,"Whitney: What will be for dinner?
William: Spaghetti alla vongole
Whitney: What's this vongole? Never seen this word
William: It's in Italian
Whitney: What does it mean?
William: Clams, it's a kind of seashells, seafood
Whitney: Oho, ambitious, how are you going to do that?
William: First I will cook pasta
Whitney: quite obvious, this is spagghetti alla vontale
William: Alla vongole. Afterwards I make garlic golden, add wine and then clams
Whitney: Gonna get drunk :))
William: Very funny. I wait as clams open, and I'll add pasta
Whitney: Sounds delicious, I am mouth watering!",BART,Whitney and William are going to have spaghetti alla vongole for dinner.,no,,no,,no,,no,,no,,no,,no,,no,,0
29,13681405,"Whitney: What will be for dinner?
William: Spaghetti alla vongole
Whitney: What's this vongole? Never seen this word
William: It's in Italian
Whitney: What does it mean?
William: Clams, it's a kind of seashells, seafood
Whitney: Oho, ambitious, how are you going to do that?
William: First I will cook pasta
Whitney: quite obvious, this is spagghetti alla vontale
William: Alla vongole. Afterwards I make garlic golden, add wine and then clams
Whitney: Gonna get drunk :))
William: Very funny. I wait as clams open, and I'll add pasta
Whitney: Sounds delicious, I am mouth watering!",UniLM,William and Whitney will eat spaghetti alla vongole for dinner .,no,,no,,no,,no,,no,,no,,no,,no,,0
30,13681405,"Whitney: What will be for dinner?
William: Spaghetti alla vongole
Whitney: What's this vongole? Never seen this word
William: It's in Italian
Whitney: What does it mean?
William: Clams, it's a kind of seashells, seafood
Whitney: Oho, ambitious, how are you going to do that?
William: First I will cook pasta
Whitney: quite obvious, this is spagghetti alla vontale
William: Alla vongole. Afterwards I make garlic golden, add wine and then clams
Whitney: Gonna get drunk :))
William: Very funny. I wait as clams open, and I'll add pasta
Whitney: Sounds delicious, I am mouth watering!",MV-BART,"Whitney and William are going to have spaghetti alla vongole for dinner. William will cook pasta, add garlic, wine and clams.",no,,no,,no,,no,,no,,no,,no,,no,,0
31,13681405,"Whitney: What will be for dinner?
William: Spaghetti alla vongole
Whitney: What's this vongole? Never seen this word
William: It's in Italian
Whitney: What does it mean?
William: Clams, it's a kind of seashells, seafood
Whitney: Oho, ambitious, how are you going to do that?
William: First I will cook pasta
Whitney: quite obvious, this is spagghetti alla vontale
William: Alla vongole. Afterwards I make garlic golden, add wine and then clams
Whitney: Gonna get drunk :))
William: Very funny. I wait as clams open, and I'll add pasta
Whitney: Sounds delicious, I am mouth watering!",CODS,"William is preparing spaghetti alla vongole for dinner. He will cook pasta, garlic, wine and clams.",no,,no,,no,,no,,no,,no,,no,,no,,0
32,13681439,"Phil: can you go out today?
Phoebe: no
Phoebe: my mum is still angry
Phil: why?
Phoebe: i used her perfume
Phil: so what?
Phoebe: i used it and broke it
Phil: really?
Phil: xd lol
Phoebe: not funny
Phoebe: it was very expensive
Phoebe: besides, our whole house stinks
Phil: so it was not so beautiful perfume?
Phoebe: it was, but not 100 ml for 80 square meters",BART,Ph used her mother's perfume and broke it.,no,,yes,Ph,no,,no,,no,,no,,no,,no,,1
33,13681439,"Phil: can you go out today?
Phoebe: no
Phoebe: my mum is still angry
Phil: why?
Phoebe: i used her perfume
Phil: so what?
Phoebe: i used it and broke it
Phil: really?
Phil: xd lol
Phoebe: not funny
Phoebe: it was very expensive
Phoebe: besides, our whole house stinks
Phil: so it was not so beautiful perfume?
Phoebe: it was, but not 100 ml for 80 square meters",UniLM,"Phoebe doesn ' t want to go out today as she used her expensive perfume . Her mum is still angry , because she used it .",yes,doesn ' t want to go out today,no,,yes,as she used her expensive perfume,yes,it,no,,no,,no,,no,,1
34,13681439,"Phil: can you go out today?
Phoebe: no
Phoebe: my mum is still angry
Phil: why?
Phoebe: i used her perfume
Phil: so what?
Phoebe: i used it and broke it
Phil: really?
Phil: xd lol
Phoebe: not funny
Phoebe: it was very expensive
Phoebe: besides, our whole house stinks
Phil: so it was not so beautiful perfume?
Phoebe: it was, but not 100 ml for 80 square meters",MV-BART,Phoebe's mum is angry at her because she used her perfume and broke it. The whole house stinks.,no,,no,,no,,no,,no,,no,,no,,no,,0
35,13681439,"Phil: can you go out today?
Phoebe: no
Phoebe: my mum is still angry
Phil: why?
Phoebe: i used her perfume
Phil: so what?
Phoebe: i used it and broke it
Phil: really?
Phil: xd lol
Phoebe: not funny
Phoebe: it was very expensive
Phoebe: besides, our whole house stinks
Phil: so it was not so beautiful perfume?
Phoebe: it was, but not 100 ml for 80 square meters",CODS,Phoebe used her mother's perfume and broke it. She used it and broke it. It was expensive for 80 square meters.,no,,no,,yes,It was expensive for 80 square meters.,no,,no,,no,,no,,yes,She used it and broke it.,1
36,13731138,"Larry: ""old heads"" will hear insurance and their ears will prick up. This vote isn't about converting people we already have onboard :)
Kirsten: Agreed. And I am more than happy and willing to chat with 'old heads' on the matter. Can talk about 'risk mitigation' and what not.
Larry: Let me take a look at that email and get back to u
Kirsten: Ok. sounds good. And let me know what you think and I will pull the trigger and post.
Larry: Nailed it. God damn it. Post it. It's a Sunday
Kirsten: Ok. Now I got to get my husband to sign off on it since we are referencing him. Oh the married life!
Larry: Mate. They're lucky to have you. Let alone him. Don't forget you're doing them all a gravious favor... Let that be clear.
Kirsten: Lol. Thank you. I appreciate the confidence. I like to stay busy and I love to learn. So I think this will take care of both :)
Larry: I hear that!
Kirsten: Besides. To be transparent. I honestl don't intend on doing this by myself. I would be a fool not to take input fro Jamie and John. They all have a lot of experience and knowledge in the role.
Larry: I hear that too. No argument from me. The current BoD has ignored them both. It's insulting.
Kirsten: Legal action seems to be the only thing they understand. 
Larry: Sadly yes. On a different note. I want to see a menorah in the lobby next year
Kirsten: Yes let's try to! I will See if Sara has an extra we can out in the lobby",BART,Larry and Kirsten are going to vote on the insurance issue. Kirsten will consult with Jamie and John. Larry wants to see a menorah in the lobby next year.,no,,no,,no,,no,,no,,no,,no,,no,,0
37,13731138,"Larry: ""old heads"" will hear insurance and their ears will prick up. This vote isn't about converting people we already have onboard :)
Kirsten: Agreed. And I am more than happy and willing to chat with 'old heads' on the matter. Can talk about 'risk mitigation' and what not.
Larry: Let me take a look at that email and get back to u
Kirsten: Ok. sounds good. And let me know what you think and I will pull the trigger and post.
Larry: Nailed it. God damn it. Post it. It's a Sunday
Kirsten: Ok. Now I got to get my husband to sign off on it since we are referencing him. Oh the married life!
Larry: Mate. They're lucky to have you. Let alone him. Don't forget you're doing them all a gravious favor... Let that be clear.
Kirsten: Lol. Thank you. I appreciate the confidence. I like to stay busy and I love to learn. So I think this will take care of both :)
Larry: I hear that!
Kirsten: Besides. To be transparent. I honestl don't intend on doing this by myself. I would be a fool not to take input fro Jamie and John. They all have a lot of experience and knowledge in the role.
Larry: I hear that too. No argument from me. The current BoD has ignored them both. It's insulting.
Kirsten: Legal action seems to be the only thing they understand. 
Larry: Sadly yes. On a different note. I want to see a menorah in the lobby next year
Kirsten: Yes let's try to! I will See if Sara has an extra we can out in the lobby",UniLM,Larry and Kirsten are happy about the vote on insurance .,no,,no,,no,,no,,no,,yes,about the vote on insurance,no,,no,,1
38,13731138,"Larry: ""old heads"" will hear insurance and their ears will prick up. This vote isn't about converting people we already have onboard :)
Kirsten: Agreed. And I am more than happy and willing to chat with 'old heads' on the matter. Can talk about 'risk mitigation' and what not.
Larry: Let me take a look at that email and get back to u
Kirsten: Ok. sounds good. And let me know what you think and I will pull the trigger and post.
Larry: Nailed it. God damn it. Post it. It's a Sunday
Kirsten: Ok. Now I got to get my husband to sign off on it since we are referencing him. Oh the married life!
Larry: Mate. They're lucky to have you. Let alone him. Don't forget you're doing them all a gravious favor... Let that be clear.
Kirsten: Lol. Thank you. I appreciate the confidence. I like to stay busy and I love to learn. So I think this will take care of both :)
Larry: I hear that!
Kirsten: Besides. To be transparent. I honestl don't intend on doing this by myself. I would be a fool not to take input fro Jamie and John. They all have a lot of experience and knowledge in the role.
Larry: I hear that too. No argument from me. The current BoD has ignored them both. It's insulting.
Kirsten: Legal action seems to be the only thing they understand. 
Larry: Sadly yes. On a different note. I want to see a menorah in the lobby next year
Kirsten: Yes let's try to! I will See if Sara has an extra we can out in the lobby",MV-BART,Kirsten and Larry are going to have a vote on insurance. Kirsten will ask Jamie and John for their opinion on the matter. They will also try to put a menorah in the lobby next year.,no,,no,,no,,no,,no,,no,,no,,no,,0
39,13731138,"Larry: ""old heads"" will hear insurance and their ears will prick up. This vote isn't about converting people we already have onboard :)
Kirsten: Agreed. And I am more than happy and willing to chat with 'old heads' on the matter. Can talk about 'risk mitigation' and what not.
Larry: Let me take a look at that email and get back to u
Kirsten: Ok. sounds good. And let me know what you think and I will pull the trigger and post.
Larry: Nailed it. God damn it. Post it. It's a Sunday
Kirsten: Ok. Now I got to get my husband to sign off on it since we are referencing him. Oh the married life!
Larry: Mate. They're lucky to have you. Let alone him. Don't forget you're doing them all a gravious favor... Let that be clear.
Kirsten: Lol. Thank you. I appreciate the confidence. I like to stay busy and I love to learn. So I think this will take care of both :)
Larry: I hear that!
Kirsten: Besides. To be transparent. I honestl don't intend on doing this by myself. I would be a fool not to take input fro Jamie and John. They all have a lot of experience and knowledge in the role.
Larry: I hear that too. No argument from me. The current BoD has ignored them both. It's insulting.
Kirsten: Legal action seems to be the only thing they understand. 
Larry: Sadly yes. On a different note. I want to see a menorah in the lobby next year
Kirsten: Yes let's try to! I will See if Sara has an extra we can out in the lobby",CODS,Kirsten and Larry are going to have a vote on insurance on Sunday. Kirsten will post it on Sunday. Kirsten needs her husband to sign off on it. Kirsten and Larry will take legal action.,no,,no,,no,,no,,no,,no,,no,,no,,0
40,13828103,"Lincoln: Heeyyy ;* whats up
Fatima: I talked to Jenson, he’s not too happy ;p
Lincoln: the place sucks??
Fatima: No, the place is ok, I think, we can go there, it’s about Alene
Lincoln: typical, dont worry about it
Fatima: He thinks she may have a depression :[
Lincoln: nothin new, everyone has it, she needs a doctor then
Fatima: But she won’t go ;/
Lincoln: so she’s destroying her life fuck it its not your problem
Fatima: It is, they’re both my friends!
Lincoln: you better think what to do if they break up
Fatima: Ehh yes Ill have a problem ;//
Lincoln: both blaming each other and talking with you about it, perfect
Fatima: Alene is just troubled… She’d been through a lot…
Lincoln: everyone has their problems, the question is are ya doin sth about them
Fatima: She has problems facing it, don’t be surprised :[
Lincoln: then it is her problem
Fatima: You are so cruel at times… o.O
Lincoln: maybe, for me its just a common sense
Fatima: Why can’t everyone be just happy???
Lincoln: youll not understand, you had good childhood, nice parents, you have no idea
Fatima: Probably, true… Well I can be just grateful o.o
Lincoln: do that and stop worrying about others, youre way to bautful for that <3
Fatima: :*:*:*",BART,Jenson and Alene broke up. Fatima thinks Alene has depression.,yes,broke up,yes,Fatima,no,,no,,no,,no,,no,,no,,1
41,13828103,"Lincoln: Heeyyy ;* whats up
Fatima: I talked to Jenson, he’s not too happy ;p
Lincoln: the place sucks??
Fatima: No, the place is ok, I think, we can go there, it’s about Alene
Lincoln: typical, dont worry about it
Fatima: He thinks she may have a depression :[
Lincoln: nothin new, everyone has it, she needs a doctor then
Fatima: But she won’t go ;/
Lincoln: so she’s destroying her life fuck it its not your problem
Fatima: It is, they’re both my friends!
Lincoln: you better think what to do if they break up
Fatima: Ehh yes Ill have a problem ;//
Lincoln: both blaming each other and talking with you about it, perfect
Fatima: Alene is just troubled… She’d been through a lot…
Lincoln: everyone has their problems, the question is are ya doin sth about them
Fatima: She has problems facing it, don’t be surprised :[
Lincoln: then it is her problem
Fatima: You are so cruel at times… o.O
Lincoln: maybe, for me its just a common sense
Fatima: Why can’t everyone be just happy???
Lincoln: youll not understand, you had good childhood, nice parents, you have no idea
Fatima: Probably, true… Well I can be just grateful o.o
Lincoln: do that and stop worrying about others, youre way to bautful for that <3
Fatima: :*:*:*",UniLM,Fatima talked to Jenson about her and Alene ' s relationship . Alene is struggling with problems . Lincoln is trying to comfort Alene .,no,,yes,Alene,yes,Alene is struggling with problems,yes,her,no,,no,,no,,no,,1
