,Unnamed: 0,Dialogue,Model,Summary,origin,Annotations,Reference_Summary,Errors,fewshot_span_f1,fewshot_span_acc,fewshot_gpt_text,zeroshot_span_f1,zeroshot_span_acc,zeroshot_gpt_text
10,10,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",pegasus,"Alan found a whiskey that has no sugar, no taste, and cinnamon flavoring. It tastes good. Rob wishes he could bring back the old cherry flavor.",SAMSum,"{'Alan found a whiskey that has no sugar, no taste, and cinnamon flavoring.': [('a whiskey', 'intrinsic', 'EntE')], 'Rob wishes he could bring back the old cherry flavor.': [('he', 'n/a', 'CorefE')]}",Alan has found some cinnamon whiskey and sends Robert photos of it. ,2,0.11249999999999999,0.0,"Alan
found a whiskey that has no sugar, no taste, and cinnamon flavoring. It tastes good.
Rob
wishes he could bring back the old cherry flavor.",0.23376623376623376,0.0,"""Alan found a whiskey that has no sugar, no taste, and cinnamon flavoring.""
""Rob wishes he could bring back the old cherry flavor."""
11,11,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",bart,"Alan has found a product that has no sugar, no taste, and additional cinnamon flavoring. The whiskey goes well with the cinnamon. Rob would like the old cherry flavor back.",SAMSum,{},Alan has found some cinnamon whiskey and sends Robert photos of it. ,0,0.0,0.0,"Alan
found a product that has no sugar, no taste, and additional cinnamon flavoring. The whiskey goes well with the cinnamon. Rob would like the old cherry flavor back.",1.0,1.0,No inconsistent spans.
12,12,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",condigsum,"Alan has found a product that has no sugar, no taste, and additional cinnamon flavoring. It tastes surprisingly well with whiskey.",SAMSum,{},Alan has found some cinnamon whiskey and sends Robert photos of it. ,0,0.0,0.0,"Alan has found a product that has no sugar, no taste, and additional cinnamon flavoring. It tastes surprisingly well with whiskey.",1.0,1.0,None
13,13,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",structure_aware_bart,"Alan found a company that has no sugar, no taste and no cinnamon flavoring. Robert and Rob are not impressed.",SAMSum,"{'Alan found a company that has no sugar, no taste and no cinnamon flavoring.': [('a company', 'intrinsic', 'EntE')], 'Robert and Rob are not impressed.': [('not impressed', 'extrinsic', 'PredE')]}",Alan has found some cinnamon whiskey and sends Robert photos of it. ,2,0.21052631578947367,0.0,"Alan found a company that has no sugar, no taste and no cinnamon flavoring. Robert and Rob are not impressed.",0.25,0.0,"""no cinnamon flavoring""
""Robert and Rob are not impressed."""
14,14,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",gpt3_finetune,Alan just consumed the cinnamon flavoured Budweiser. Robert doesn't like flavoured whiskey rather he prefers to drink the original one. Alan's found a supplier for flavored whiskey. Robert prefers the original one.,SAMSum,"{'Alan just consumed the cinnamon flavoured Budweiser.': [('Budweiser', 'extrinsic', 'EntE')], ""Robert doesn't like flavoured whiskey rather he prefers to drink the original one."": [('Robert', 'intrinsic', 'EntE')], ""Alan's found a supplier for flavored whiskey."": [('a supplier', 'extrinsic', 'EntE')], 'Robert prefers the original one.': [('Robert', 'intrinsic', 'EntE')]}",Alan has found some cinnamon whiskey and sends Robert photos of it. ,4,0.15384615384615385,0.0,Alan just consumed the cinnamon flavoured Budweiser. Robert doesn't like flavoured whiskey rather he prefers to drink the original one. Alan's found a supplier for flavored whiskey. Robert prefers the original one.,0.3472222222222222,0.0,"""Alan just consumed the cinnamon flavoured Budweiser.""
""Alan's found a supplier for flavored whiskey."""
15,15,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",bart,Shannon hasn't heard the new 30 seconds to mars album. Kane recommends it to her.,SAMSum,{},Kane recommends the new 30 Seconds to Mars album to Shannon.,0,0.0,0.0,Shannon hasn't heard the new 30 seconds to mars album. Kane recommends it to her.,1.0,1.0,None
16,16,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",pegasus,"Shannon doesn't like the new 30 seconds to mars album. Kane recommends her to check it out, but she doesn't think it's good.",SAMSum,"{""Shannon doesn't like the new 30 seconds to mars album."": [(""doesn't like"", 'extrinsic', 'PredE')], ""Kane recommends her to check it out, but she doesn't think it's good."": [(""doesn't think"", 'extrinsic', 'PredE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.,2,0.18701298701298702,0.0,"Shannon
doesn't like the new 30 seconds to mars album
Kane
recommends her to check it out
she doesn't think it's good",0.4166666666666667,0.0,"""Shannon doesn't like the new 30 seconds to mars album.""
""but she doesn't think it's good."""
17,17,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",gpt3_finetune,"Shannon will check out the new 30 seconds to mars album, as Kane recommend it.",SAMSum,{},Kane recommends the new 30 Seconds to Mars album to Shannon.,0,0.0,0.0,"Shannon will check out the new 30 seconds to mars album, as Kane recommend it.",0.0,0.0,Shannon will check out the new 30 seconds to mars album
18,18,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",structure_aware_bart,"Kane recommends Shannon the new 30 seconds to mars album. Shannon doesn't like it, but Kane recommends it to her.",SAMSum,"{""Shannon doesn't like it, but Kane recommends it to her."": [(""doesn't like"", 'extrinsic', 'PredE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.,1,0.1818181818181818,0.0,"Kane recommends Shannon the new 30 seconds to mars album
Shannon doesn't like it, but Kane recommends it to her.",0.6666666666666666,0.0,"""Shannon doesn't like it"""
19,19,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",condigsum,Shannon hasn't heard the new 30 seconds to mars album. Kane recommends it to her.,SAMSum,{},Kane recommends the new 30 Seconds to Mars album to Shannon.,0,0.0,0.0,"Shannon hasn't heard the new 30 seconds to mars album.
Kane recommends it to her.",1.0,1.0,No inconsistent spans.
20,20,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",structure_aware_bart,Sybille is angry because her son couldn't get his flight from Minneapolis to Paris on the 29th. Air France offers her a departure on flight DL140 from Minneapolis to Paris.,SAMSum,"{""Sybille is angry because her son couldn't get his flight from Minneapolis to Paris on the 29th."": [('because', 'n/a', 'LinkE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue.",1,0.0,0.0,"Sybille
her son couldn't get his flight from Minneapolis to Paris on the 29th
Air France offers her a departure on flight DL140 from Minneapolis to Paris.",0.021052631578947368,0.0,"The summary does not mention that the flight is operated by Delta Airlines. 
The summary does not mention Sybille's issues with online registration for the flight.
The summary does not mention Sybille's issues with payment not being accepted because the flight is operated by Delta.
The summary does not mention that Air France helped by providing a new ticket for Sybille's son. 
The summary does not mention that Sybille ended up expressing satisfaction with Air France's service."
21,21,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",pegasus,"Sybille is trying to make her online registration for the flight AF3581 from Minneapolis to Paris the 29th, but she only gets an error message.",SAMSum,{},"Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue.",0,0.0,0.0,"Sybille is trying to make her online registration for the flight AF3581 from Minneapolis to Paris the 29th, but she only gets an error message.",1.0,1.0,None
23,23,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",gpt3_finetune,Sybil is having trouble to register for a flight to Paris from Minneapolis. The Delta Airlines ticket did not go through. Air France books him for Delta for the same departure on the same day even though the codes don't coincide. He becomes free 3 hours before departure. Air France emails him the new ticket.,SAMSum,"{'Sybil is having trouble to register for a flight to Paris from Minneapolis.': [('Sybil', 'extrinsic', 'EntE')], 'The Delta Airlines ticket did not go through.': [('The Delta Airlines ticket', 'intrinsic', 'EntE')], ""Air France books him for Delta for the same departure on the same day even though the codes don't coincide."": [('on the same day', 'extrinsic', 'CirE')], 'He becomes free 3 hours before departure.': [('becomes free', 'extrinsic', 'PredE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue.",4,0.4488215488215488,0.16666666666666666,"Sybil
register for a flight to Paris from Minneapolis
The Delta Airlines ticket did not go through
Air France books him for Delta for the same departure on the same day even though the codes don't coincide
He becomes free 3 hours before departure
Air France emails him the new ticket.",0.4222222222222223,0.0,"""Air France books him for Delta for the same departure on the same day even though the codes don't coincide.""
""He becomes free 3 hours before departure."""
24,24,"Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help
Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.
Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.
Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered.
Air France: Of course, i give the file to an agent.
Air France: Please, be awared it could take 24 hours
Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket.
Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you.
Sybille: My  phone number is XXXX, please call me back as soon as possible
Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you.
Air France: We'll get in touch with Delta US  and return to you quickly
Sybille: thanks a lot
Air France: We just send  you by email the new ticket for you son. We remain at your disposal.
Sybille: Thanks a lot, you're more efficient than the  hotline.",condigsum,"Sybille is trying to make an online registration for the flight AF3581 from Minneapolis to Paris the 29th. She is angry because her son couldn't get his flight yesterday, so she asked for it to be postponed. She has to sleep in the airport, because he has no ticket. Air France offers her a departure on flight DL140 fromneapolis to Paris.",SAMSum,"{'She has to sleep in the airport, because he has no ticket.': [('She', 'n/a', 'CorefE')], 'Air France offers her a departure on flight DL140 fromneapolis to Paris.': [('fromneapolis', 'n/a', 'Others')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue.",2,0.0,0.0,"Sybille
trying to make an online registration for the flight AF3581 from Minneapolis to Paris the 29th
is angry because her son
asked for it to be postponed
sleep in the airport, because he has no ticket. Air France offers her a departure on flight DL140 from Minneapolis to Paris.",0.16666666666666669,0.0,"""She has to sleep in the airport, because he has no ticket."""
25,25,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",gpt3_finetune,Callan's Samsung S8 does not work. Callan wants to take it to a service provider. Wade thinks he should be careful with his phone battery. Callan will back up his files.,SAMSum,"{'Callan will back up his files.': [('will back up', 'intrinsic', 'PredE')]}","Callan's Samsung S8 overheats, so he's going to the store to get it repaired.",1,0.16666666666666666,0.0,"Callan's Samsung S8 does not work
Callan wants to take it to a service provider
Wade thinks he should be careful with his phone battery
Callan will back up his files",0.0,0.0,No inconsistent spans.
26,26,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",structure_aware_bart,Callan's Samsung S8 overheats and then it takes a while for it to restart. It's still under warranty. Callan will go to the store to check it out.,SAMSum,{},"Callan's Samsung S8 overheats, so he's going to the store to get it repaired.",0,0.0,0.0,"Callan's Samsung S8
overheats and then it takes a while for it to restart
It's still under warranty
Callan will go to the store to check it out.",1.0,1.0,No inconsistent spans.
28,28,"Callan: Something's wrong with my Samsung S8.
Wade: What, exactly?
Callan: All I get is a black screen.
Wade: Did you drop it or something?
Callan: I think I know, this has happened before.
Wade:  It did? What happened before?
Callan: It overheats and then it takes a while for it to restart again..
Wade: That sucks.. Be carefull with the battery, it can be dangerous.
Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty.
Wade: Will you lose all your stuff?
Callan: No, I always back up my files.",condigsum,Callan's Samsung S8 overheats and it takes a while for it to restart again. He's going to the store to have it checked. It's still under warranty.,SAMSum,{},"Callan's Samsung S8 overheats, so he's going to the store to get it repaired.",0,0.0,0.0,"Callan's Samsung S8
overheats
takes a while for it to restart again
He's going to the store to have it checked
It's still under warranty",1.0,1.0,No inconsistent spans.
